username,text,timestamp,url,is_reply,replies,retweets,likes,scraped_at
jimcramer,CRWD part of the Empire Striking Back,"Apr 13, 2026 · 2:12 PM UTC",https://x.com/jimcramer/status/2043693917950939290#m,False,39,4,148,2026-04-13T17:14:42.790140
jimcramer,"PANW, NOW others--the software empire strikes back today!","Apr 13, 2026 · 2:08 PM UTC",https://x.com/jimcramer/status/2043692910265127228#m,False,90,15,374,2026-04-13T17:14:42.790504
jimcramer,Key point: we are looking for logo change in golf sponsorships. The enterprise software names will fade. Will Coreweave step up??,"Apr 13, 2026 · 12:07 PM UTC",https://x.com/jimcramer/status/2043662468287754395#m,False,24,1,98,2026-04-13T17:14:42.790970
jimcramer,GS-- misses on revs but estimates had gotten too high. Still excellent return on equity. Smoother eps. Club position trimmed last week but we still like,"Apr 13, 2026 · 12:03 PM UTC",https://x.com/jimcramer/status/2043661303042974018#m,False,33,3,159,2026-04-13T17:14:42.791350
jimcramer,Very few analysts seem to care that oil has gone above $100. They have cordoned off oil as a factor. I think that's Panglossian but i get that domestically we are insulated from a total lack of supply.. They want to buy the dip ahead of a blockade as if the market will rally when the blockade takes effect.,"Apr 13, 2026 · 9:16 AM UTC",https://x.com/jimcramer/status/2043619306747863276#m,False,143,35,494,2026-04-13T17:14:42.791714
jimcramer,"This market is saying ""if the bond market doesn't mind it, then i don't mind it, as per the piece i sent out this weekend for club members","Apr 13, 2026 · 8:44 AM UTC",https://x.com/jimcramer/status/2043611294419366318#m,False,71,23,369,2026-04-13T17:14:42.792091
jimcramer,Surprised the futures are so benign given how much we have run in the last two weeks on rumors of peace....,"Apr 12, 2026 · 10:21 PM UTC",https://x.com/jimcramer/status/2043454438602367457#m,False,436,106,1543,2026-04-13T17:14:42.792450
jimcramer,You would think you could get some sort of short-covering rally on these software stocks,"Apr 10, 2026 · 2:43 PM UTC",https://x.com/jimcramer/status/2042614467414868471#m,False,126,31,582,2026-04-13T17:14:42.792859
jimcramer,Now we need POTUS to weigh in on Crowdstrike and Palo Alto Networks,"Apr 10, 2026 · 2:41 PM UTC",https://x.com/jimcramer/status/2042613879788773849#m,False,142,22,689,2026-04-13T17:14:42.793235
jimcramer,Writing this weekend about losers and what I learned about them a long time ago and STILL forget them,"Apr 10, 2026 · 2:37 PM UTC",https://x.com/jimcramer/status/2042612879996715314#m,False,44,7,193,2026-04-13T17:14:42.793630
jimcramer,President endorses Palantir right here...,"Apr 10, 2026 · 2:36 PM UTC",https://x.com/jimcramer/status/2042612707396886903#m,False,151,67,1002,2026-04-13T17:14:42.793962
jimcramer,"Of course, alleged smuggling by Super Micro officer of NVDA chips to China will put a damper on Nvidia.... can't catch a break....","Apr 10, 2026 · 9:58 AM UTC",https://x.com/jimcramer/status/2042542732598444479#m,False,73,25,446,2026-04-13T17:14:42.794412
jimcramer,Will amazing numbers from Taiwan Semi ignite Nvidia or ...  This morning.... And will the software selling ever end?  There has to be a covering moment for some of these....,"Apr 10, 2026 · 8:37 AM UTC",https://x.com/jimcramer/status/2042522454283669624#m,False,85,30,426,2026-04-13T17:14:42.794857
jimcramer,Perplexity just pushed me a very strong way to file my taxes. I have to have mine prepared but i could see why that part of Intuit's business is under such assault,"Apr 9, 2026 · 8:56 AM UTC",https://x.com/jimcramer/status/2042164626440302609#m,False,86,21,531,2026-04-13T17:14:42.795606
jimcramer,ServiceNow and Salesforce... ouch.. these stocks are just being knocked over mercilessly,"Apr 8, 2026 · 9:04 PM UTC",https://x.com/jimcramer/status/2041985591257026770#m,False,140,32,664,2026-04-13T17:14:42.796095
jimcramer,"Club members we made some important changes today and i am banging my head why i never pulled the trigger, DELL","Apr 8, 2026 · 6:25 PM UTC",https://x.com/jimcramer/status/2041945638242234578#m,False,51,8,216,2026-04-13T17:14:42.796443
jimcramer,I think Apple goes higher,"Apr 8, 2026 · 1:29 PM UTC",https://x.com/jimcramer/status/2041870955484516591#m,False,926,136,2212,2026-04-13T17:14:42.796893
jimcramer,"Which big cap tech will give up its gain first: a) MSFT, b) AMZN, c)NVDA, d) META, e) AVGO","Apr 8, 2026 · 1:28 PM UTC",https://x.com/jimcramer/status/2041870838874440128#m,False,214,17,416,2026-04-13T17:14:42.797312
jimcramer,Nor should I. This is a very good idea even as it contravenes the way the law envisioned...,"Apr 8, 2026 · 1:27 PM UTC",https://x.com/jimcramer/status/2041870475773534495#m,False,335,16,244,2026-04-13T17:14:42.797948
jimcramer,Do not sell the CRWD or PANW--too soon!,"Apr 8, 2026 · 1:21 PM UTC",https://x.com/jimcramer/status/2041868970685321688#m,False,125,29,550,2026-04-13T17:14:42.798449
